F.j1.a1;F.j2.a1;F.j3.a1;F.j1.a0;F.j2.a0;F.j3.a0
0,035412955032119914;1,22511134903640e-02;1,16327194860814e-02;0,051615546038543896;1,62930620985011e-02;1,15014132762313e-02
0,035600920770877946;1,23352248394004e-02;1,17059100642398e-02;0,051881113490364027;1,64042612419700e-02;1,15721199143469e-02
0,035787901498929339;1,24199571734475e-02;1,17772805139186e-02;0,052148693790149893;1,65149464668094e-02;1,16463811563169e-02
0,035976873661670239;1,25034047109208e-02;1,18525695931478e-02;0,052418308351177730;1,66230192719486e-02;1,17176445396146e-02
0,036163447537473234;1,25855674518201e-02;1,19251605995717e-02;0,052686830835117771;1,67326552462527e-02;1,17916059957173e-02
0,036345481798715204;1,26702355460385e-02;1,19985653104925e-02;0,052952141327623124;1,68428051391863e-02;1,18617987152034e-02
0,036534304068522483;1,27539828693790e-02;1,20714775160600e-02;0,053223940042826552;1,69532334047109e-02;1,19340471092077e-02
0,036721391862955033;1,28379229122056e-02;1,21443468950749e-02;0,053485396145610278;1,70654603854390e-02;1,20080942184154e-02
0,036904967880085654;1,29222269807281e-02;1,22182655246253e-02;0,053750492505353319;1,71773233404711e-02;1,20809421841542e-02
0,037089293361884365;1,30056959314775e-02;1,22925053533191e-02;0,054019079229122052;1,72883725910064e-02;1,21544967880086e-02
0,037274903640256957;1,30914561027837e-02;1,23671734475375e-02;0,054287580299785865;1,73995289079229e-02;1,22274946466809e-02
0,037462269807280513;1,31758886509636e-02;1,24419486081370e-02;0,054557366167023558;1,75133404710921e-02;1,22992077087794e-02
0,037647516059957170;1,32630620985011e-02;1,25188865096360e-02;0,054823169164882224;1,76228051391863e-02;1,23729122055675e-02
0,037831027837259099;1,33471306209850e-02;1,25942398286938e-02;0,055086873661670234;1,77352676659529e-02;1,24447323340471e-02
0,038014475374732334;1,34347965738758e-02;1,26666167023555e-02;0,055358051391862957;1,78455032119914e-02;1,25175588865096e-02
0,038199014989293359;1,35187366167024e-02;1,27419486081370e-02;0,055627494646680944;1,79580299785867e-02;1,25916488222698e-02
0,038387708779443253;1,36051391862955e-02;1,28152890792291e-02;0,055892098501070665;1,80665096359743e-02;1,26666809421842e-02
0,038573897216274092;1,36919486081370e-02;1,28875588865096e-02;0,056157794432548182;1,81804496788009e-02;1,27403211991435e-02
0,038760406852248394;1,37796788008565e-02;1,29598715203426e-02;0,056423554603854391;1,82939614561028e-02;1,28121413276231e-02
0,038944325481798714;1,38652248394004e-02;1,30339828693790e-02;0,056686188436830834;1,84045182012848e-02;1,28858672376874e-02
0,039127901498929335;1,39510064239829e-02;1,31104282655246e-02;0,056943940042826553;1,85191006423983e-02;1,29580942184154e-02
0,039308629550321196;1,40369593147752e-02;1,31848394004283e-02;0,057210149892933618;1,86315417558887e-02;1,30311777301927e-02
0,039496680942184156;1,41240256959315e-02;1,32589293361884e-02;0,057477408993576014;1,87415417558887e-02;1,31052676659529e-02
0,039679614561027837;1,42104282655246e-02;1,33322698072805e-02;0,057743126338329766;1,88533832976445e-02;1,31771734475375e-02
0,039865567451820128;1,42957601713062e-02;1,34064882226981e-02;0,058004732334047106;1,89660599571734e-02;1,32503640256959e-02
0,040052162740899358;1,43840899357602e-02;1,34807708779443e-02;0,058264753747323338;1,90786937901499e-02;1,33222055674518e-02
0,040238415417558890;1,44719486081370e-02;1,35540471092077e-02;0,058532012847965741;1,91934047109208e-02;1,33962312633833e-02
0,040422591006423980;1,45592077087794e-02;1,36286295503212e-02;0,058792997858672376;1,93075802997859e-02;1,34692077087794e-02
0,040607730192719488;1,46430406852248e-02;1,37061884368308e-02;0,059055374732334048;1,94225481798715e-02;1,35443254817987e-02
0,040791006423982867;1,47313704496788e-02;1,37824839400428e-02;0,059317109207708781;1,95330835117773e-02;1,36153961456103e-02
0,040976531049250538;1,48147751605996e-02;1,38582869379015e-02;0,059582698072805140;1,96464453961456e-02;1,36907922912206e-02
0,041159293361884369;1,49014132762313e-02;1,39332762312634e-02;0,059843426124197005;1,97564882226981e-02;1,37635546038544e-02
0,041345396145610280;1,49886081370450e-02;1,40078586723769e-02;0,060106017130620984;1,98687366167024e-02;1,38366595289079e-02
0,041530985010706636;1,50765096359743e-02;1,40828907922912e-02;0,060369164882226982;1,99833190578158e-02;1,39081156316916e-02
0,041714496788008565;1,51628479657388e-02;1,41569164882227e-02;0,060632269807280516;2,00964453961456e-02;1,39821841541756e-02
0,041898372591006421;1,52502569593148e-02;1,42310064239829e-02;0,060892055674518199;2,02088222698073e-02;1,40563597430407e-02
