Estimator,t,Estimand,Estimate,se,Truth,bias,MSE,coverage,upper,lower
tmle3,12,s0,0.6795311205835405,0.024753732596895773,0.6745683511777302,-0.00496276940581032,3.1326589492263986e-4,0.9897540983606558,0.7107971544315954,0.6460914260607447
tmle3,12,s1,0.7386858529444744,0.02290183684652214,0.7391604710920772,4.7461814760276264e-4,2.1501558513311258e-4,1,0.7637093779712142,0.7086520637053524
tmle3,12,RD,-0.05915473236093391,0.03373616666219806,-0.06459211991434699,-0.005437387553413083,5.425821748896699e-4,0.9948770491803278,-0.014766386403236728,-0.10118281867842714
tmle3,12,RR,0.817780465685813,0.09575542224403652,0.8015186287255573,-0.016261836960255578,0.004401191569873116,0.9989754098360656,0.9497196379252646,0.7086629306620833
tmle3,12,SR,1.0877423678725655,0.05213219134485233,1.095753261773363,0.008010893900797412,0.0012903901276701609,0.9918032786885246,1.1578129191550173,1.0211282938939399
tmle3,16,s0,0.5874297816423828,0.0277998953868223,0.581883147751606,-0.005546633890776804,4.281808283049066e-4,0.9897540983606558,0.6249867559729072,0.5491745016658739
tmle3,16,s1,0.6596929686101755,0.026427804504432755,0.6579097430406853,-0.0017832255694901808,3.257431244844816e-4,0.9979508196721312,0.690206849984014,0.62406960223289
tmle3,16,RD,-0.07226318696779267,0.038368918059136975,-0.07602659528907929,-0.003763408321286624,7.583678458766112e-4,0.9938524590163934,-0.01715360604830725,-0.12285957826563373
tmle3,16,RR,0.8268625153832287,0.08521477423910852,0.8181690240891951,-0.008693491294033637,0.0037495469542047494,0.9989754098360656,0.9557457478100713,0.7203989241581791
tmle3,16,SR,1.1243470522006043,0.06988014437664405,1.1306561215646918,0.006309069364087487,0.0025104256719500886,0.9938524590163934,1.2186975467085432,1.0278004395734552
tmle3,20,s0,0.5066064010792395,0.031150467466478603,0.49990571734475375,-0.006700683734485728,5.689294911698191e-4,0.9897540983606558,0.5505753236505624,0.4624626504409608
tmle3,20,s1,0.5865791197317336,0.03063342551336775,0.5829084154175589,-0.0036707043141747018,4.3066555315886577e-4,0.9979508196721312,0.6219952155213567,0.5476336061833553
tmle3,20,RD,-0.07997271865249411,0.04371537206475632,-0.08300269807280514,-0.0030299794203110246,9.447212160290504e-4,0.9989754098360656,-0.01972454298398668,-0.13676341572737932
tmle3,20,RR,0.8397183643733638,0.08194490088644711,0.8340259008119368,-0.005692463561426899,0.003286849437347482,0.9989754098360656,0.9569356551546018,0.7399399545967962
tmle3,20,SR,1.1602258585573448,0.0939680994412031,1.1660367049084244,0.005810846351079478,0.004406448673823576,0.9918032786885246,1.2906571791999455,1.0363207288017042
