F.j1.a1,F.j2.a1,F.j3.a1,F.j1.a0,F.j2.a0,F.j3.a0
0.010748008565310493,0.002819978586723769,0.003538929336188437,0.015818736616702356,0.0037821413276231263,0.003524967880085653
0.01087678800856531,0.002864967880085653,0.0035883297644539614,0.016012805139186296,0.0038401070663811564,0.0035765524625267667
0.011007002141327623,0.0029094860813704496,0.0036402355460385437,0.01620394004282655,0.0038980942184154176,0.0036267023554603854
0.011135653104925054,0.002954946466809422,0.0036907708779443256,0.01639597430406852,0.003958907922912205,0.003678543897216274
0.011265139186295504,0.0030001498929336187,0.0037415845824411136,0.01658404710920771,0.004019700214132762,0.003728051391862955
0.011395438972162742,0.003047173447537473,0.0037938758029978587,0.016771755888650965,0.004080749464668095,0.0037801927194860813
0.011523126338329765,0.003092740899357602,0.0038446466809421843,0.01695747323340471,0.004141049250535332,0.003831927194860814
0.011654625267665954,0.0031391648822269805,0.0038960813704496788,0.01714419700214133,0.004200214132762312,0.0038840042826552464
0.01178558886509636,0.0031846895074946467,0.003946809421841542,0.017336809421841543,0.004259207708779443,0.003936231263383298
0.01191134903640257,0.0032324625267665954,0.003999464668094218,0.017529550321199145,0.00432,0.003987773019271949
0.012042955032119914,0.003279443254817987,0.004051156316916488,0.01771933618843683,0.0043810064239828694,0.00404
0.01217119914346895,0.003323404710920771,0.004104882226980728,0.01791085653104925,0.004440385438972163,0.004092483940042827
0.01230002141327623,0.0033683297644539613,0.004156959314775161,0.018099100642398287,0.004501477516059957,0.004144946466809422
0.012432355460385439,0.0034145824411134906,0.004211541755888651,0.01828916488222698,0.004562569593147751,0.004197344753747324
0.012561456102783726,0.003461220556745182,0.004264154175588865,0.018476638115631692,0.004624025695931478,0.004249785867237688
0.012690214132762313,0.0035076231263383296,0.004315396145610278,0.01866306209850107,0.004687023554603854,0.00430085653104925
0.012823211991434689,0.0035528693790149893,0.004367580299785867,0.018851713062098503,0.004749186295503212,0.004353104925053533
0.012953511777301927,0.003599528907922912,0.004420042826552463,0.01904203426124197,0.0048121627408993575,0.004405952890792291
0.013082997858672377,0.003648543897216274,0.004473190578158458,0.01923,0.004872847965738758,0.004458115631691649
0.013212141327623127,0.0036940471092077086,0.004526916488222698,0.019420406852248395,0.004937237687366167,0.004512312633832977
0.013340492505353319,0.0037413276231263383,0.004580728051391863,0.019609207708779445,0.004998436830835118,0.004563233404710921
0.013470856531049251,0.0037894646680942186,0.004634646680942184,0.019797344753747323,0.005062291220556745,0.004617408993576017
0.013599293361884368,0.003835995717344754,0.004687408993576017,0.019984668094218415,0.005127344753747323,0.004670620985010707
0.013727537473233405,0.0038838758029978585,0.004740107066381156,0.020170706638115633,0.005191049250535332,0.0047225481798715205
0.013858843683083513,0.003929122055674518,0.004793618843683084,0.020358629550321198,0.005253618843683083,0.004775224839400428
0.013986680942184155,0.003976038543897217,0.004848201284796574,0.020546573875802998,0.005315695931477516,0.004827773019271948
0.01411406852248394,0.0040255032119914345,0.004901241970021414,0.02073732334047109,0.005381092077087794,0.004880492505353319
0.014245546038543897,0.004073640256959315,0.004953426124197002,0.020925117773019274,0.00544593147751606,0.004932933618843683
0.01437443254817987,0.004121563169164883,0.005007194860813705,0.021112248394004284,0.005509571734475375,0.004987087794432548
