estimator,timescale,J,time,F.a0,F.a1,RR,RD,SR
cox_gcomp,3mo,2,16,0.22945051477964096,0.181327904261764,0.7902702002473483,-0.048122610517876946,1.0624523297217114
cox_gcomp,3mo,3,4,0.025418310859994502,0.03297658154684667,1.2973553486100453,0.007558270686852168,0.9922446001488887
cox_gcomp,3mo,3,8,0.04361067058679541,0.0576047799879099,1.320887278567821,0.013994109401114493,0.9853677692015859
cox_gcomp,3mo,3,12,0.06639445535543659,0.0899291078023918,1.3544671361631724,0.023534652446955212,0.974791653089512
cox_gcomp,3mo,3,16,0.091916540212348,0.12790000402030827,1.3914797459176587,0.03598346380796026,0.9603742768133067
cox_gcomp,6mo,1,2,0.07691784417084929,0.046750986279174823,0.6078041679812543,-0.03016685789167447,1.0326805774558359
cox_gcomp,6mo,1,4,0.13114857897005186,0.08119205549608471,0.6190845233224002,-0.049956523473967146,1.0574971994806062
cox_gcomp,6mo,1,6,0.17913128875541318,0.1130679893896949,0.6312017859932808,-0.06606329936571828,1.0804797386728924
cox_gcomp,6mo,1,8,0.23911387599613512,0.1550855563473674,0.6485845110464191,-0.08402831964876772,1.110434816719487
cox_gcomp,6mo,2,2,0.0517902442714325,0.03809953514888141,0.7356508100097361,-0.01369070912255109,1.014438481612153
cox_gcomp,6mo,2,4,0.10982765414012896,0.08255283176531211,0.7516579718618324,-0.02727482237481685,1.0306399345044475
cox_gcomp,6mo,2,6,0.17513849647143642,0.1350494931310176,0.7711011333995493,-0.040089003340418816,1.0486008901723836
cox_gcomp,6mo,2,8,0.22945051477964096,0.181327904261764,0.7902702002473483,-0.048122610517876946,1.0624523297217114
cox_gcomp,6mo,3,2,0.025418310859994502,0.03297658154684667,1.2973553486100453,0.007558270686852168,0.9922446001488887
cox_gcomp,6mo,3,4,0.04361067058679541,0.0576047799879099,1.320887278567821,0.013994109401114493,0.9853677692015859
cox_gcomp,6mo,3,6,0.06639445535543659,0.0899291078023918,1.3544671361631724,0.023534652446955212,0.974791653089512
cox_gcomp,6mo,3,8,0.091916540212348,0.12790000402030827,1.3914797459176587,0.03598346380796026,0.9603742768133067
cox_gcomp,cont,1,360,0.07691784417084929,0.046750986279174823,0.6078041679812543,-0.03016685789167447,1.0326805774558359
cox_gcomp,cont,1,720,0.13114857897005186,0.08119205549608471,0.6190845233224002,-0.049956523473967146,1.0574971994806062
cox_gcomp,cont,1,1080,0.17913128875541318,0.1130679893896949,0.6312017859932808,-0.06606329936571828,1.0804797386728924
cox_gcomp,cont,1,1440,0.23911387599613512,0.1550855563473674,0.6485845110464191,-0.08402831964876772,1.110434816719487
cox_gcomp,cont,2,360,0.0517902442714325,0.03809953514888141,0.7356508100097361,-0.01369070912255109,1.014438481612153
cox_gcomp,cont,2,720,0.10982765414012896,0.08255283176531211,0.7516579718618324,-0.02727482237481685,1.0306399345044475
cox_gcomp,cont,2,1080,0.17513849647143642,0.1350494931310176,0.7711011333995493,-0.040089003340418816,1.0486008901723836
cox_gcomp,cont,2,1440,0.22945051477964096,0.181327904261764,0.7902702002473483,-0.048122610517876946,1.0624523297217114
